0 [Tr loss: 0.006666, acc.: 90.43%, precission: 48.15%, recall: 98.92%, fscore: 63.12%]
0 [Vl loss: 0.043363, acc.: 93.68%, precission: 37.64%, recall: 71.06%, fscore: 46.43%]
1 [Tr loss: 0.001378, acc.: 98.37%, precission: 79.22%, recall: 99.74%, fscore: 88.05%]
1 [Vl loss: 0.079938, acc.: 96.05%, precission: 47.84%, recall: 63.81%, fscore: 51.02%]
2 [Tr loss: 0.000553, acc.: 99.34%, precission: 90.14%, recall: 99.90%, fscore: 94.71%]
2 [Vl loss: 0.094448, acc.: 96.06%, precission: 49.40%, recall: 61.74%, fscore: 50.56%]
3 [Tr loss: 0.000340, acc.: 99.60%, precission: 93.75%, recall: 99.94%, fscore: 96.70%]
3 [Vl loss: 0.113166, acc.: 96.65%, precission: 54.29%, recall: 59.23%, fscore: 52.56%]
4 [Tr loss: 0.000220, acc.: 99.74%, precission: 95.79%, recall: 99.96%, fscore: 97.81%]
4 [Vl loss: 0.136825, acc.: 96.55%, precission: 55.67%, recall: 56.34%, fscore: 50.96%]
5 [Tr loss: 0.000195, acc.: 99.77%, precission: 96.35%, recall: 99.97%, fscore: 98.10%]
5 [Vl loss: 0.141458, acc.: 96.72%, precission: 55.46%, recall: 55.55%, fscore: 50.84%]
6 [Tr loss: 0.000114, acc.: 99.87%, precission: 97.80%, recall: 99.98%, fscore: 98.86%]
6 [Vl loss: 0.141059, acc.: 96.60%, precission: 55.40%, recall: 57.28%, fscore: 51.43%]
7 [Tr loss: 0.000095, acc.: 99.89%, precission: 98.20%, recall: 99.99%, fscore: 99.07%]
7 [Vl loss: 0.190458, acc.: 96.91%, precission: 60.40%, recall: 50.76%, fscore: 50.98%]
8 [Tr loss: 0.000075, acc.: 99.91%, precission: 98.58%, recall: 99.99%, fscore: 99.28%]
8 [Vl loss: 0.104509, acc.: 94.04%, precission: 39.33%, recall: 66.29%, fscore: 45.96%]
9 [Tr loss: 0.000108, acc.: 99.88%, precission: 98.26%, recall: 99.98%, fscore: 99.08%]
9 [Vl loss: 0.146448, acc.: 96.89%, precission: 57.17%, recall: 54.57%, fscore: 51.60%]
10 [Tr loss: 0.000048, acc.: 99.94%, precission: 99.08%, recall: 99.99%, fscore: 99.53%]
10 [Vl loss: 0.170227, acc.: 96.94%, precission: 60.08%, recall: 53.97%, fscore: 52.27%]
11 [Tr loss: 0.000056, acc.: 99.94%, precission: 98.98%, recall: 99.99%, fscore: 99.48%]
11 [Vl loss: 0.107333, acc.: 96.49%, precission: 55.38%, recall: 60.25%, fscore: 52.45%]
12 [Tr loss: 0.000030, acc.: 99.96%, precission: 99.41%, recall: 100.00%, fscore: 99.70%]
12 [Vl loss: 0.148621, acc.: 97.02%, precission: 60.04%, recall: 56.42%, fscore: 53.64%]
13 [Tr loss: 0.000054, acc.: 99.94%, precission: 99.03%, recall: 99.99%, fscore: 99.50%]
13 [Vl loss: 0.148785, acc.: 96.99%, precission: 59.45%, recall: 56.89%, fscore: 53.43%]
14 [Tr loss: 0.000062, acc.: 99.94%, precission: 98.96%, recall: 99.99%, fscore: 99.47%]
14 [Vl loss: 0.121919, acc.: 96.60%, precission: 54.83%, recall: 59.86%, fscore: 53.20%]
15 [Tr loss: 0.000015, acc.: 99.98%, precission: 99.72%, recall: 100.00%, fscore: 99.86%]
15 [Vl loss: 0.164847, acc.: 96.92%, precission: 60.16%, recall: 55.72%, fscore: 53.27%]
16 [Tr loss: 0.000035, acc.: 99.96%, precission: 99.37%, recall: 99.99%, fscore: 99.68%]
16 [Vl loss: 0.175875, acc.: 96.89%, precission: 61.04%, recall: 52.86%, fscore: 51.75%]
17 [Tr loss: 0.000036, acc.: 99.96%, precission: 99.36%, recall: 99.99%, fscore: 99.67%]
17 [Vl loss: 0.137536, acc.: 97.17%, precission: 62.15%, recall: 57.92%, fscore: 55.20%]
